Membership No  Date Joined  Active  
    57263      2016-3-22    no    
    78109      2019-6-9     yes   
    61027      2018-9-5     no    
    53260      2017-5-16    no    
    90001      2020-1-3     yes   
    37155      2019-9-8     yes   
    65079      2020-3-15    yes   
    31458      2020-2-6     yes   
    15678      2018-10-6    yes   
    85191      2020-8-13    no    
    66290      2015-6-23    no    
    83896      2016-9-5     no    
    16134      2019-4-3     yes   
    47579      2017-11-20   yes   
    12235      2016-7-24    no    
    51782      2019-4-13    no    
    75859      2017-1-11    yes   
    30851      2017-10-24   yes   
    71480      2020-11-17   no    
    97996      2019-12-22   no    
